SN,t_exp,A_r,A_g,alpha_r,alpha_g,B_r,B_g,dt_exp,dA_r,dA_g,dalpha_r,dalpha_g,dB_r,dB_g
ZTF18aawurud,2458305.1996643813,3.370368368361996,0.47726107615237345,2.254354190001627,2.9999970874660185,99.99999999999999,39.188258118785384,1.5287933490584549,4.744527291972336,0.8170313004993747,0.45980567107648895,0.5426608178363767,5.310420567079089,4.002290059449965
ZTF18aaxcntm,,,,,,,,,,,,,,
ZTF18aaxdrjn,2458263.450004113,47.481874252097164,21.615047889020808,1.82639748394639,2.444721427052887,3.5295106772233567,6.040750503569976,0.9390874118696393,45.809871662822474,29.629726516426665,0.3829858457194261,0.6214945037846478,3.5789498854240387,2.963284443219553
ZTF18aaxsioa,2458269.19910331,42.49953461698605,31.95855851657898,1.9220328007168355,2.0511705619322056,11.914501877658866,-2.1084381081782113,0.3786050166896002,16.77042519489456,14.307998796563055,0.15382436056242219,0.18427675065955507,4.604453797834222,3.115854411301503
ZTF18aaxvpsw,2458268.491520043,12.39631168281493,4.621814682905556,1.6772229672982277,2.258599183595916,18.467079329885618,-2.1091632679345107,1.2876714187444473,13.055525623273477,6.0874681765021235,0.38186661333487476,0.4621576924692412,5.537938875064176,4.731738915091918
ZTF18aaxwjmp,,,,,,,,,,,,,,
ZTF18aaydmkh,2458270.113901592,20.497912783023942,6.39913602355053,1.3872379834975077,1.987266338449901,-12.965414994630281,-8.845791663478636,1.0059591188875556,15.557754900625042,6.6173230385867505,0.29488403692738047,0.38692038650376065,5.979677154681712,3.4290157272269224
ZTF18aayjvve,2458272.8043347397,10.096789399563512,8.806196241904068,2.1583181794816997,2.259394549507912,-1.4399095835163676,-2.626554642064442,0.3629133861685311,3.587457707708926,3.228428476941769,0.125537008701748,0.1286034218361049,4.091902233524666,4.305311567785741
ZTF18aazabmh,2458269.251565284,0.8082923526174904,0.35151340274719456,2.5780099772619915,2.974817291646084,-1.6703206653784493,-16.72543125888128,3.0030165408487624,2.366098008212413,1.074377983647241,0.9466692926569783,0.9419244703103068,6.622077539013837,4.02044303769453
ZTF18aazblzy,,,,,,,,,,,,,,
ZTF18aazcoob,2458271.037217382,2.3576472058777216,1.7962139174270437,2.0896340871443573,2.2707291232445153,11.403284477432022,-5.153469769516033,3.269856338137453,5.4813393526885585,4.584358101464757,0.7092286716584959,0.7973155719820776,7.792970648441291,11.442829819246509
ZTF18aazixbw,2458275.1195558277,14.417326987394011,8.558765557106339,1.8244313883174548,2.123833040542332,5.278053968503399,-3.825049115511033,0.741719615065101,11.208877232461349,7.531734310002321,0.31182291016998076,0.3490254629633788,4.466795430626057,3.817701588237582
ZTF18aazjztm,2458275.566115403,15.22668750770397,12.533297918936114,1.7871198341324428,1.9089231910114275,15.903143909385452,46.86855805831133,0.6102218077466969,10.20734806795068,8.782075729996354,0.2828494229522064,0.29077887086029786,4.034573673509338,3.097869705827464
ZTF18aazsabq,2458274.91637479,2.334063187758215,0.7467290998035865,2.4531165328932873,2.9924580382226105,8.385897633455206,-2.6730214579117124,0.9496153991921794,2.4182022106006555,0.9032820454361623,0.3623375774608616,0.41441489489376115,3.3031968433491885,3.2836319059406622
