SN,z,t0,dt0,x0,dx0,x1,dx1,c,dc,fmax,cov
ZTF18aazcoob,0.0842700065966318,2458295.7517388184,0.08038551802746952,0.0005998923988993834,5.628687372472019e-06,0.3716068935313086,0.10231702468770854,0.05534587181961199,0.008397019021706163,"[{'r': 359.99699691681064, 'g': 355.73918480182516}]","[array([[ 6.46195443e-03,  3.94687492e-08, -1.79558322e-03,
        -1.42872045e-06],
       [ 3.94687492e-08,  3.16821215e-11, -3.84317990e-07,
        -3.47780085e-08],
       [-1.79558322e-03, -3.84317990e-07,  1.04691394e-02,
         2.58614754e-04],
       [-1.42872045e-06, -3.47780085e-08,  2.58614754e-04,
         7.05115908e-05]])]"
ZTF18abixkdo,0.03034527,2458329.066132237,0.06857617478817701,0.002623792824722873,1.6822156835728103e-05,-2.62095344877942,0.06250812225848046,0.07952901788821924,0.00632781214278131,"[{'r': 1474.9941206249857, 'g': 1447.8881549737118}]","[array([[ 4.70273604e-03,  1.13412635e-07, -6.23093697e-04,
        -8.13375730e-05],
       [ 1.13412635e-07,  2.82984961e-10, -2.31792240e-07,
        -8.66154958e-08],
       [-6.23093697e-04, -2.31792240e-07,  3.90731999e-03,
         5.00205265e-05],
       [-8.13375730e-05, -8.66154958e-08,  5.00205265e-05,
         4.00417444e-05]])]"
ZTF18aajtlbf,0.02783472,2458228.521809374,0.00014783162623643875,0.00194683061716492,5.110767451053239e-06,-3.099432062541873,0.025395038967720884,0.13774864871515294,0.002598777730592708,"[{'r': 1238.920224293441, 'g': 1163.2053219490444}]","[array([[ 2.18541745e-08, -3.08463280e-12,  1.25398997e-08,
         1.08329302e-09],
       [-3.08463280e-12,  2.61199439e-11, -2.09321216e-08,
        -1.10428074e-08],
       [ 1.25398997e-08, -2.09321216e-08,  6.44909538e-04,
         1.11809020e-06],
       [ 1.08329302e-09, -1.10428074e-08,  1.11809020e-06,
         6.75366119e-06]])]"
ZTF18abshmro,0.05430928,2458365.8973573293,0.14169955882243812,0.0003803387238564132,7.946639942475742e-06,-2.009555530384056,0.14912145215681605,0.37178046782783836,0.01612522783393952,"[{'r': 336.0469099946084, 'g': 240.5757714979038}]","[array([[ 2.00795669e-02, -6.52545694e-07,  5.73052723e-03,
         9.19686790e-04],
       [-6.52545694e-07,  6.31490864e-11, -5.49050641e-07,
        -1.15223296e-07],
       [ 5.73052723e-03, -5.49050641e-07,  2.22389254e-02,
         7.53745699e-04],
       [ 9.19686790e-04, -1.15223296e-07,  7.53745699e-04,
         2.60049129e-04]])]"
ZTF18abjvzxx,0.05033761,2458332.728735669,0.1717925020493567,0.0012960619411290925,2.62982601015177e-05,-1.7001096688716852,0.20597796250911105,0.0717333001432136,0.016015734793618615,"[{'r': 732.4520418450154, 'g': 724.3161391198059}]","[array([[ 2.95141450e-02,  7.79857944e-07, -1.66083128e-02,
        -2.62550410e-04],
       [ 7.79857944e-07,  6.91598484e-10, -2.91816697e-06,
        -3.90323239e-07],
       [-1.66083128e-02, -2.91816697e-06,  4.24331012e-02,
         1.42024954e-03],
       [-2.62550410e-04, -3.90323239e-07,  1.42024954e-03,
         2.56525809e-04]])]"
ZTF18aairuad,0.06456795,2458229.857902734,0.07300845789723098,0.0008608964610993738,8.764220578924564e-06,0.8474939135082904,0.07983461148442272,0.05301175699140042,0.008929368951055481,"[{'r': 519.4960440217458, 'g': 539.1012407076379}]","[array([[ 5.33030474e-03, -2.17639151e-07,  1.95561750e-03,
         2.58232485e-04],
       [-2.17639151e-07,  7.68115623e-11, -3.16903069e-07,
        -6.76664515e-08],
       [ 1.95561750e-03, -3.16903069e-07,  6.37370158e-03,
         1.40775504e-04],
       [ 2.58232485e-04, -6.76664515e-08,  1.40775504e-04,
         7.97357551e-05]])]"
ZTF18aczrafz,0.021008,2458486.5639801794,0.032449504593387246,0.0061103187636989895,2.731211394178118e-05,-1.748794312626568,0.032241183796203776,0.05952524657196752,0.0037910010549962597,"[{'r': 2936.2628349754136, 'g': 2827.069954698026}]","[array([[ 1.05297201e-03, -4.85792430e-07,  3.42782591e-05,
         5.52639148e-05],
       [-4.85792430e-07,  7.45951568e-10, -2.24125164e-07,
        -9.16143158e-08],
       [ 3.42782591e-05, -2.24125164e-07,  1.03949765e-03,
         1.19213365e-05],
       [ 5.52639148e-05, -9.16143158e-08,  1.19213365e-05,
         1.43717581e-05]])]"
ZTF18acyyhgi,0.03703937,2458477.6451724516,0.09627244621515274,0.0031656813454664923,0.00032473180259512055,0.2869346522663439,0.42687336718820323,-0.05526308656233142,0.07440768776742254,"[{'r': 1391.4548518625859, 'g': 1561.0815778833392}]","[array([[ 9.26855933e-03, -1.74577928e-05,  1.92729109e-02,
         4.07803526e-03],
       [-1.74577928e-05,  1.05450744e-07, -1.33146168e-04,
        -2.41628891e-05],
       [ 1.92729109e-02, -1.33146168e-04,  1.82331752e-01,
         3.03824503e-02],
       [ 4.07803526e-03, -2.41628891e-05,  3.03824503e-02,
         5.54678339e-03]])]"
ZTF18abmogag,0.08222634,2458350.369241267,0.12291452195495367,0.0006006522350279764,8.360363530635073e-06,-0.3551516559385799,0.12969400116442886,0.005256384150345716,0.013470651701468543,"[{'r': 340.5327974956118, 'g': 360.6797516881835}]","[array([[ 1.51083404e-02, -1.61347672e-08,  4.32523234e-03,
         2.72501348e-05],
       [-1.61347672e-08,  6.98956784e-11, -4.91000154e-07,
        -8.72813624e-08],
       [ 4.32523234e-03, -4.91000154e-07,  1.68214783e-02,
         3.09699914e-04],
       [ 2.72501348e-05, -8.72813624e-08,  3.09699914e-04,
         1.81469434e-04]])]"
ZTF18abvrzqj,0.101223,2458388.2894625408,0.34749563527293503,0.00044318622958341297,1.090958946936213e-05,-0.31033534703038856,0.34080408782381666,-0.10573390657619715,0.022706564269795483,"[{'r': 232.55546308206175, 'g': 270.8832050550945}]","[array([[ 1.20790276e-01,  7.77024821e-07,  1.06403506e-01,
         1.35312685e-03],
       [ 7.77024821e-07,  1.19019142e-10, -5.41589981e-07,
        -1.25697980e-07],
       [ 1.06403506e-01, -5.41589981e-07,  1.16192465e-01,
         2.01708870e-03],
       [ 1.35312685e-03, -1.25697980e-07,  2.01708870e-03,
         5.15677698e-04]])]"
ZTF18aaobjwr,0.1104053,2458236.9626892325,0.27140637347474694,0.00022254154241623664,9.704614255985622e-06,-1.5564573937366524,0.4002014760107031,-0.04521720275979528,0.03664307796496789,"[{'r': 128.34183008762588, 'g': 138.1403027083851}]","[array([[ 7.36729439e-02, -1.31133190e-06,  3.63471992e-02,
         2.62572769e-03],
       [-1.31133190e-06,  9.41795378e-11, -2.83020465e-06,
        -2.32443588e-07],
       [ 3.63471992e-02, -2.83020465e-06,  1.60248926e-01,
         3.70238119e-03],
       [ 2.62572769e-03, -2.32443588e-07,  3.70238119e-03,
         1.34331779e-03]])]"
ZTF18acbzpxx,0.08834532,2458427.533453905,0.00023941206745803356,0.0006044632655569371,9.431923366713668e-06,1.0841820723992137,0.24452416200631888,-0.01541132900718891,0.0165421830864252,"[{'r': 328.9225212864033, 'g': 345.67724756369336}]","[array([[ 5.73181413e-08,  1.07904634e-09, -1.36002952e-05,
        -1.98532848e-06],
       [ 1.07904634e-09,  8.89611784e-11, -1.34705614e-06,
        -1.09807932e-07],
       [-1.36002952e-05, -1.34705614e-06,  5.98041284e-02,
         1.13496328e-03],
       [-1.98532848e-06, -1.09807932e-07,  1.13496328e-03,
         2.73668791e-04]])]"
ZTF18abfhaji,0.101598,2458321.8360940446,0.050093796104192734,0.0005436446059030181,2.343765302951356e-06,-0.04942229172913966,0.06248401966961317,-0.09560092238877818,0.007134419950617997,"[{'r': 278.25940463241983, 'g': 313.85726347356336}]","[array([[ 2.50940916e-03, -9.23236353e-09,  1.84052435e-03,
        -3.37502434e-05],
       [-9.23236353e-09,  5.49323580e-12, -8.06645214e-08,
        -5.04502593e-09],
       [ 1.84052435e-03, -8.06645214e-08,  3.90430353e-03,
        -1.41245299e-05],
       [-3.37502434e-05, -5.04502593e-09, -1.41245299e-05,
         5.09008196e-05]])]"
ZTF18acqpqph,0.02316421,2458446.0238584606,0.15623463643714786,0.005979740707440416,4.272507006175888e-05,1.054946874250249,0.0703148803222044,0.059883584453771885,0.006141809851348726,"[{'r': 3392.266379369811, 'g': 3599.3709452708863}]","[array([[ 2.44096533e-02,  2.25205776e-06, -9.06711409e-03,
        -4.45629715e-04],
       [ 2.25205776e-06,  1.82543161e-09, -1.58283681e-06,
        -2.32998366e-07],
       [-9.06711409e-03, -1.58283681e-06,  4.94426480e-03,
         2.15511936e-04],
       [-4.45629715e-04, -2.32998366e-07,  2.15511936e-04,
         3.77223043e-05]])]"
ZTF18abckujq,0.06382665,2458305.398214932,0.13517876574769616,0.0011788748005797586,1.573865764736143e-05,0.8347174551419383,0.16924636360386647,-0.027575023488153064,0.015285714467088271,"[{'r': 637.8476434452953, 'g': 724.8696798559376}]","[array([[ 1.82739265e-02, -1.60804615e-07,  1.47480946e-02,
         1.52023830e-04],
       [-1.60804615e-07,  2.47705345e-10, -1.23090737e-06,
        -1.54962529e-07],
       [ 1.47480946e-02, -1.23090737e-06,  2.86470862e-02,
         3.92488445e-04],
       [ 1.52023830e-04, -1.54962529e-07,  3.92488445e-04,
         2.33671281e-04]])]"
ZTF18aawdpnm,0.04389802,2458273.8531642747,0.07214120286516845,0.001983627648828444,1.113575565758751e-05,-0.6847704430623044,0.07492339192129999,0.06838703793278476,0.006035574096947934,"[{'r': 1174.6293345581475, 'g': 1210.9940801300536}]","[array([[ 5.20438832e-03, -3.48985096e-07,  7.28886827e-05,
        -3.15961973e-06],
       [-3.48985096e-07,  1.24005054e-10, -3.08280689e-07,
        -4.18833237e-08],
       [ 7.28886827e-05, -3.08280689e-07,  5.61362019e-03,
         2.94914357e-05],
       [-3.15961973e-06, -4.18833237e-08,  2.94914357e-05,
         3.64285991e-05]])]"
ZTF18aaunfqq,0.07108651,2458268.2369799973,0.055626844288781285,0.0006888658437750744,6.667535872820207e-06,-1.035919702478957,0.06392096704919509,-0.010821568643845956,0.006984203976418782,"[{'r': 391.57127082481037, 'g': 438.49394374721726}]","[array([[ 3.09436511e-03, -2.49799493e-07,  2.03008629e-03,
         1.77152962e-04],
       [-2.49799493e-07,  4.44560346e-11, -3.31852886e-07,
        -3.86422113e-08],
       [ 2.03008629e-03, -3.31852886e-07,  4.08594628e-03,
         2.28668116e-04],
       [ 1.77152962e-04, -3.86422113e-08,  2.28668116e-04,
         4.87798984e-05]])]"
ZTF18aajpjdi,0.07461706,2458237.695430225,0.07514396333135664,0.0007474025981345986,7.144668027456863e-06,0.7492653248153779,0.09868823543653904,-0.003982256003731266,0.008486841443332515,"[{'r': 427.5481285645663, 'g': 469.99378748723456}]","[array([[ 5.64666455e-03, -1.27544117e-07,  1.95995339e-03,
         3.25093224e-05],
       [-1.27544117e-07,  5.10462812e-11, -4.62368564e-07,
        -3.62649886e-08],
       [ 1.95995339e-03, -4.62368564e-07,  9.73968580e-03,
         6.61439572e-05],
       [ 3.25093224e-05, -3.62649886e-08,  6.61439572e-05,
         7.20282070e-05]])]"
ZTF18abtfrbf,0.05702774,2458377.8546184828,2.4656765162944794e-06,0.0008474142851516986,9.045807531013472e-06,-1.206298653087073,0.09408714759014636,0.032823604007999926,0.00936919983871183,"[{'r': 487.4747432417779, 'g': 516.8976126197548}]","[array([[ 6.08017831e-12, -3.24855221e-12,  1.12157994e-08,
         3.25916814e-09],
       [-3.24855221e-12,  8.18266339e-11, -2.46397380e-07,
        -7.26833353e-08],
       [ 1.12157994e-08, -2.46397380e-07,  8.85265643e-03,
         6.57871423e-05],
       [ 3.25916814e-09, -7.26833353e-08,  6.57871423e-05,
         8.77844771e-05]])]"
ZTF18abklaoj,0.02795989,2458330.518891984,0.6165576223284006,0.0024967958248623204,0.0001354694549958943,-2.856301144376229,0.19719108525453666,0.0448440006342213,0.04399451882884724,"[{'r': 1343.026291181154, 'g': 1373.5638045906016}]","[array([[ 3.80196754e-01, -8.01102949e-05, -5.50447684e-02,
         2.48272451e-02],
       [-8.01102949e-05,  1.83519732e-08,  9.27464802e-06,
        -5.78436379e-06],
       [-5.50447684e-02,  9.27464802e-06,  3.88898130e-02,
        -2.81408757e-03],
       [ 2.48272451e-02, -5.78436379e-06, -2.81408757e-03,
         1.93677024e-03]])]"
ZTF18aarbgdn,0.04449056,2458244.9521055757,0.09342671278864145,0.0024376513268251493,1.8023509574336544e-05,-0.2516547313151477,0.12428499074366492,0.008050692350899849,0.00658591085037369,"[{'r': 1291.835550429005, 'g': 1406.0324510019175}]","[array([[ 8.72874971e-03, -8.15482159e-07,  6.52987840e-03,
         8.18475481e-05],
       [-8.15482159e-07,  3.24846897e-10, -1.23164663e-06,
        -9.03742519e-08],
       [ 6.52987840e-03, -1.23164663e-06,  1.54475548e-02,
         1.89437415e-04],
       [ 8.18475481e-05, -9.03742519e-08,  1.89437415e-04,
         4.33748489e-05]])]"
ZTF18acvwchp,0.0514253,2458468.5393840964,0.4000646974891424,0.0014242188323191768,1.7549490131121837e-05,0.00098732157791186,0.20038596274885462,-0.026585264983606836,0.013311381979626878,"[{'r': 763.6858139835925, 'g': 880.7971787743786}]","[array([[ 1.60083330e-01, -4.88972157e-06, -6.03330633e-02,
         2.72796139e-03],
       [-4.88972157e-06,  3.07984604e-10,  1.51178112e-06,
        -1.80081711e-07],
       [-6.03330633e-02,  1.51178112e-06,  4.01599098e-02,
        -1.25428904e-03],
       [ 2.72796139e-03, -1.80081711e-07, -1.25428904e-03,
         1.77203364e-04]])]"
ZTF18abbpeqo,0.06678188,2458301.15175029,0.035446055233478546,0.0008899739492524636,3.4303670424437605e-06,-0.1935471404095897,0.045589867160012315,0.01944352773512418,0.003742047923426993,"[{'r': 512.9934860224554, 'g': 550.5684673787232}]","[array([[ 1.25642714e-03, -6.04313211e-08,  1.01037311e-03,
         3.42096812e-05],
       [-6.04313211e-08,  1.17674180e-11, -9.67000118e-08,
        -8.96815341e-09],
       [ 1.01037311e-03, -9.67000118e-08,  2.07845039e-03,
         3.64212057e-05],
       [ 3.42096812e-05, -8.96815341e-09,  3.64212057e-05,
         1.40029880e-05]])]"
ZTF18abwmuua,0.06424318,2458387.521465303,0.11171619431115687,0.0009482377031450953,7.481735315503085e-06,-1.8817650320390256,0.12196391347754909,-0.024361501387064152,0.010001973825463356,"[{'r': 510.860341337614, 'g': 575.3151148167782}]","[array([[ 1.24808418e-02, -1.32821508e-07,  1.18827098e-02,
         4.26945371e-04],
       [-1.32821508e-07,  5.59763633e-11, -2.62704982e-07,
        -5.08748722e-08],
       [ 1.18827098e-02, -2.62704982e-07,  1.48759609e-02,
         4.16845284e-04],
       [ 4.26945371e-04, -5.08748722e-08,  4.16845284e-04,
         1.00042819e-04]])]"
