SN,z,t0,dt0,x0,dx0,x1,dx1,c,dc,fmax,cov,mu,dmu
ZTF18aasdted,0.01803026740261693,2458265.986313735,0.008562531089410186,0.008294549151031831,1.9186497315380746e-05,0.8343515932156709,0.012371073798071841,0.16632872654526348,0.0015801769533816956,"[{'r': 15772.68010497326, 'g': 14724.081268658689}]","[array([[ 7.33169558e-05, -4.81285398e-08,  3.17364140e-05,
         1.65901996e-06],
       [-4.81285398e-08,  3.68121679e-10, -1.76341283e-07,
        -2.48888707e-08],
       [ 3.17364140e-05, -1.76341283e-07,  1.53043546e-04,
         7.40529809e-06],
       [ 1.65901996e-06, -2.48888707e-08,  7.40529809e-06,
         2.49696134e-06]])]",34.71474021879009,0.10028256330850849
ZTF18aasesgl,0.08657500000000007,2458258.739850548,0.09907339280471206,0.00029216127130027997,4.160610715453483e-06,-1.3539883503437071,0.09313697668697829,0.05950970764679429,0.01457451359182664,"[{'r': 579.8861440743988, 'g': 583.2425812538286}]","[array([[ 9.81564442e-03, -5.25840387e-08,  3.95601323e-03,
        -3.86352680e-05],
       [-5.25840387e-08,  1.73106815e-11, -2.02309880e-07,
        -4.23432609e-08],
       [ 3.95601323e-03, -2.02309880e-07,  8.67475195e-03,
         1.82684908e-04],
       [-3.86352680e-05, -4.23432609e-08,  1.82684908e-04,
         2.12431542e-04]])]",38.37519430318875,0.11467977760328334
ZTF18aaslhxt,0.05459999999999998,2458264.1524420357,4.117097705602646e-05,0.0015998538134425616,5.153219540584425e-06,0.35711994820024384,0.020696991361187966,-0.11581905310781787,0.0023995701060662566,"[{'r': 2035.7924038080782, 'g': 2486.494479245772}]","[array([[ 1.69506308e-09, -1.40386489e-13,  5.53978178e-10,
         3.94728723e-11],
       [-1.40386489e-13,  2.65556716e-11, -8.22207023e-08,
        -1.02239329e-08],
       [ 5.53978178e-10, -8.22207023e-08,  4.28366064e-04,
         2.34840821e-05],
       [ 3.94728723e-11, -1.02239329e-08,  2.34840821e-05,
         5.75794790e-06]])]",37.14759132825468,0.10067828639328522
ZTF18aatzygk,0.0769359999999999,2458263.583724273,0.03766423068009317,0.0006236415954989083,4.386766428932792e-06,0.19891985025945372,0.05783340225549946,0.015929473306700675,0.005542627319596877,"[{'r': 1020.3178126139713, 'g': 1063.917090189475}]","[array([[ 1.41859991e-03, -2.60573129e-08,  4.33940388e-04,
         1.27168208e-05],
       [-2.60573129e-08,  1.92437197e-11, -1.89422072e-07,
        -1.87375379e-08],
       [ 4.33940388e-04, -1.89422072e-07,  3.34473972e-03,
         1.22762196e-04],
       [ 1.27168208e-05, -1.87375379e-08,  1.22762196e-04,
         3.07210323e-05]])]",37.84060505522834,0.1033410603714771
ZTF18aauhxce,0.08379200000000009,2458271.0429392518,0.07786193885840476,0.0005036207715237162,4.725991074150393e-06,0.9612668333383525,0.11040712798064839,0.10277402070474718,0.008362097633027282,"[{'r': 921.7540086793908, 'g': 876.7923585948505}]","[array([[ 6.06256020e-03, -1.61463295e-07,  4.79641343e-03,
         1.94463689e-04],
       [-1.61463295e-07,  2.23349916e-11, -3.42528922e-07,
        -2.79297797e-08],
       [ 4.79641343e-03, -3.42528922e-07,  1.21902339e-02,
         2.06371344e-04],
       [ 1.94463689e-04, -2.79297797e-08,  2.06371344e-04,
         6.99263241e-05]])]",37.9135016077643,0.10689157068400566
ZTF18aaumeys,0.036816389981204845,2458267.7504839282,0.019899423699826002,0.0035413360876981673,1.2984860066431875e-05,0.8439800997010795,0.026772024122588278,-0.015348922009322844,0.0029694965231105265,"[{'r': 5423.805537220996, 'g': 6231.406303612982}]","[array([[ 3.95987454e-04, -8.77238217e-08,  2.73606183e-04,
         1.17271648e-05],
       [-8.77238217e-08,  1.68606591e-10, -2.26062908e-07,
        -2.99248339e-08],
       [ 2.73606183e-04, -2.26062908e-07,  7.16743000e-04,
         2.06042423e-05],
       [ 1.17271648e-05, -2.99248339e-08,  2.06042423e-05,
         8.81793553e-06]])]",36.05809148269667,0.10087338113185289
ZTF18aaumlfl,0.08747299999999991,2458266.17275177,0.045960519928485155,0.0005074569603157122,4.387962514944277e-06,-0.9249596877120897,0.06185055870807343,-0.1023237877243158,0.006998114174443466,"[{'r': 775.921464093052, 'g': 931.7337253727441}]","[array([[ 2.11238330e-03, -7.41755631e-08,  7.90656243e-04,
         5.90607709e-05],
       [-7.41755631e-08,  1.92542150e-11, -2.04029136e-07,
        -2.32938980e-08],
       [ 7.90656243e-04, -2.04029136e-07,  3.82554082e-03,
         1.74374149e-04],
       [ 5.90607709e-05, -2.32938980e-08,  1.74374149e-04,
         4.89744100e-05]])]",38.271938896177744,0.1049322456914999
ZTF18aaunfqq,0.07133400000000001,2458268.5999130993,0.041524066822603345,0.000669896493579937,4.973290243209805e-06,-0.8093897123005904,0.04571667510806865,0.048321629622358114,0.00544819748941992,"[{'r': 1244.531825761382, 'g': 1300.0207162327554}]","[array([[ 1.72425410e-03, -1.22593610e-07,  9.29939166e-04,
         8.77360346e-05],
       [-1.22593610e-07,  2.47336159e-11, -1.67485579e-07,
        -2.29493423e-08],
       [ 9.29939166e-04, -1.67485579e-07,  2.09002904e-03,
         1.19273215e-04],
       [ 8.77360346e-05, -2.29493423e-08,  1.19273215e-04,
         2.96831503e-05]])]",37.52556589760064,0.10330356095778205
ZTF18aavrwhu,0.06263400000000008,2458276.3331430294,0.039259277982637286,0.0012632656214916424,3.995456507113054e-06,0.935560659293629,0.05235939327128991,-0.03535834908141733,0.0032993452604293573,"[{'r': 2092.8378797018354, 'g': 2419.105152500281}]","[array([[ 1.54129747e-03, -2.90749365e-08,  2.81469970e-05,
         1.25419382e-05],
       [-2.90749365e-08,  1.59636727e-11, -1.01674332e-07,
        -9.46610986e-09],
       [ 2.81469970e-05, -1.01674332e-07,  2.74153134e-03,
         2.84950925e-05],
       [ 1.25419382e-05, -9.46610986e-09,  2.84950925e-05,
         1.08857187e-05]])]",37.28130320581595,0.10110173664799194
ZTF18aavrzxp,0.0694729999999999,2458271.1806544107,0.058489140355959535,0.0007167804699420507,4.544882536414163e-06,-1.244327116829656,0.052298063601298184,-0.09078294074839059,0.005350839589938337,"[{'r': 1117.642655415793, 'g': 1353.5331353660401}]","[array([[ 3.42100910e-03, -1.60093751e-07,  5.46876727e-04,
         9.76107828e-05],
       [-1.60093751e-07,  2.06559573e-11, -1.24333221e-07,
        -1.83014074e-08],
       [ 5.46876727e-04, -1.24333221e-07,  2.73511278e-03,
         7.37527696e-05],
       [ 9.76107828e-05, -1.83014074e-08,  7.37527696e-05,
         2.86317598e-05]])]",37.8304323006605,0.10273631149960315
ZTF18aawjywv,0.05061500000000008,2458271.8320177346,0.02959898440167308,0.0014279425933080361,6.017345397124618e-06,-1.591613356820137,0.029324189416239932,-0.03786529874608239,0.0038340709387072874,"[{'r': 2280.8984258590626, 'g': 2618.897643311989}]","[array([[ 8.76102265e-04, -7.21782977e-08,  8.25133319e-05,
         1.86790260e-05],
       [-7.21782977e-08,  3.62084456e-11, -9.81035755e-08,
        -1.75144759e-08],
       [ 8.25133319e-05, -9.81035755e-08,  8.59910614e-04,
         3.09840687e-05],
       [ 1.86790260e-05, -1.75144759e-08,  3.09840687e-05,
         1.47001721e-05]])]",36.8825839543384,0.10130001066827786
