SN,t_exp,A_r,A_g,alpha_r,alpha_g,B_r,B_g,dt_exp,dA_r,dA_g,dalpha_r,dalpha_g,dB_r,dB_g
ZTF18aasesgl,2458234.250070288,2.802309413574989,0.14128956159101905,1.0000000000002378,2.77933740152381,-39.98592133203349,15.41754564173397,42.05713912100473,51.30465354638312,5.661153250151611,6.670642946210853,12.348713068342905,7.887886105270635,5.148402546741042
ZTF18aaslhxt,2458242.6389087928,2.977403830501546,1.15755950889116,2.3544976115832945,2.999936600200542,3.9710311121974255,13.67544220998201,2.479786552967616,10.94989598188957,4.0922427746552,1.605279494779855,1.2809205478467047,6.114130702222415,3.874276133673683
ZTF18aatzygk,2458247.0441235844,116.28313639003372,56.59724871619935,2.9999999999999996,1.0000000000000002,11.356387806150943,14.392808818378366,32.44866475325461,10690.722265632407,1953.323019116204,110.20351286144638,27.891992049628456,4.968884236170568,5.399086177564641
ZTF18aauhxce,2458249.127437678,19.003490709634292,25.973861137598572,1.3618477193235612,1.2745833508879392,-3.1709864502914464,5.05662090649962,0.7530229747621258,9.6155007597372,16.813183829178925,0.1939402080685641,0.2587141372374661,3.624993546016575,3.873597266036891
ZTF18aaumeys,,,,,,,,,,,,,,
ZTF18aaumlfl,2458251.9910557047,161.7900987237492,189.12151893645384,2.9999989006149215,2.673111286947087,5.698003792688958,13.269159264285927,,,,,,4.355200355428838,3.3154218849120793
ZTF18aaunfqq,,,,,,,,,,,,,,
ZTF18aavrwhu,2458256.4292537062,91.54821544876424,81.04080447975296,1.0009230606595558,1.1239119058888098,-5.332355475496916,4.350628701109501,0.3771705616347807,28.844473543357836,23.90869531319612,0.1596602239630033,0.13876699115532207,5.280790270530449,3.5756443341193123
ZTF18aavrzxp,2458253.391177987,16.14292475387942,4.326412015284206,1.64563340912316,2.4131022927312284,0.20306377054250238,25.741585297941675,4.169932323737431,69.20841385075025,29.01064143067562,1.8108550564766723,2.889787450871511,1.916864225371471,3.457145802556326
ZTF18aawjywv,2458255.245377882,86.85589085131912,11.147537942485897,1.0063943952533367,2.658510882940329,19.391770950594648,27.337743945784574,1.202294816906289,104.76061986931036,57.19805090781959,0.7923337381127966,3.561903831587456,8.941746587092075,4.483211164386292
ZTF18aawurud,2458305.4659558916,0.958166754411442,4.989191237539833,2.9999999999999996,1.8080850807002717,99.99999999999999,37.05038002913617,2.7235243685094317,4.035558041331889,14.527575883108106,1.5826940910600393,1.1609563887881655,5.215464449648218,4.205683382429375
ZTF18aaxcntm,,,,,,,,,,,,,,
ZTF18aaxdrjn,2458263.5757032894,130.1503355357742,10.242411163856195,1.0012690544939715,2.999185825794423,3.196352142381764,6.0596775527675355,6.771138375387861,2320.409823292168,1542.5039392359074,13.564146148860594,105.84341486942103,3.58526051512029,2.9909904441421835
ZTF18aaxsioa,2458269.1664759596,44.82237722365746,25.46084980038283,1.8738593502070704,2.2007460458171275,11.48798179778968,-1.9581691474761729,0.5725073553615081,32.29462545844494,20.299481666906562,0.32850919173127163,0.3535541826009669,4.617472231500895,3.118183391852368
ZTF18aaxvpsw,2458267.370166463,3.232648192445244,1.2385449035881504,2.2158212500338763,2.730100594155371,18.62256970775759,-2.144337995482649,3.6632257906456034,12.7028678137765,5.5907474664693515,1.4342783635601066,1.592503700758966,5.562604508031439,4.754721859763766
ZTF18aaxwjmp,,,,,,,,,,,,,,
ZTF18aaydmkh,2458270.4234596854,22.778345260824228,10.987848071102476,1.4047825101795954,1.7043901508688009,-12.62888972715893,-9.013100309503997,1.3149044766303946,27.078373912639517,16.930397273100162,0.520100992350652,0.7322644483205197,6.011136400831326,3.4446957071666215
ZTF18aayjvve,2458271.451191014,2.1419378355420915,1.3635961870522597,2.7083181176331736,2.949993011198664,-2.9908335975309512,-3.907736164262034,0.8189174049774322,2.0711488830258573,1.3954754081755547,0.33502412492336214,0.3486267290788032,4.20272335227331,4.560673901921395
ZTF18aazabmh,2458268.4177504024,1.2912651088376141,2.8978451700688024,2.2408231384758706,1.7759306058087043,-4.122672541693923,-17.286838629919874,5.397143552403331,6.212811404985298,13.72345077149033,1.5939181082777227,1.7160704849654487,7.113235582179276,4.0735839304256825
ZTF18aazblzy,,,,,,,,,,,,,,
ZTF18aazcoob,2458275.075816655,48.91444550629999,44.920667938387496,1.001660039214497,1.126151997433725,13.288401178095912,-5.31311686789043,1.1820028015788793,45.45872345494943,35.66083182155751,0.4135014164719823,0.3334776249756199,7.566049989770171,11.14452081670441
ZTF18aazixbw,2458274.3469184763,4.7238963979381,2.342017961784063,2.333712813232621,2.7082088368449995,5.170487626251982,-3.7674055477864608,2.1730105791882703,14.11197686292071,7.9462909669908415,1.236584783958236,1.3891693006396004,4.612141476941939,3.8957046765094407
ZTF18aazjztm,2458276.0319658355,26.405685705955918,28.229265660758138,1.6020645755558667,1.4152356422037269,15.978361838926114,46.65715081574225,0.7086588475576278,25.11906897062137,24.267237211008954,0.5291705428793099,0.47493886126949547,3.909021848082878,3.1232300237917157
ZTF18aazsabq,2458275.3241426256,5.084839687956006,1.1620694988597116,2.1184055059867752,2.8492681868789407,7.685771161327004,-1.924387280524394,1.3491569808104074,8.169752815985166,2.354407024732201,0.6358245935880241,0.7820703440682019,3.3708352650599434,3.3237597542375457
ZTF18abauprj,2458282.785989163,115.177723490213,121.7169252666045,1.9893158688958803,2.0098918331685467,-6.94411936493134,-5.373746659298389,0.057462762833394396,7.729930995883749,8.629990145309453,0.027496587552538622,0.029250584721519597,3.509245972491468,2.8412075354894695
ZTF18abaxlpi,2458279.05751078,2.87772364325113,1.9554301727758299,2.468823128982541,2.6804208331127533,-1.5568081771255147,7.458158149512651,0.9243823024510448,3.3036022693866167,2.35307730750671,0.42951967377200967,0.43983625266348897,3.40579673781085,2.958435573537319
ZTF18abbpeqo,,,,,,,,,,,,,,
ZTF18abbvsiv,2458279.421080796,2.21019166873868,16.745681041504483,2.9102699397574603,1.7878301578177551,-7.375110059765117,5.477080027239288,6668138.271483917,27984949.34935714,132813235.63672188,5385180.43449983,3390926.8197403145,11.928119329521472,7.297653498975871
ZTF18abcecfi,2458283.8630699436,41.5706827147452,27.74755269737595,1.1054083596158935,1.241025953382689,19.544168321957873,20.325872314865485,1.933324111540315,82.85829398280862,74.70193229223669,1.0027738274232374,1.4007954616189535,8.018790471453988,12.074781560436278
ZTF18abcflnz,2458285.57513656,8.561265072984162,4.535468472754812,2.5994595464454813,2.941673768042392,0.32443001730056653,-2.634716849103418,0.29543691835454494,3.1709745965995473,1.821825952087352,0.1345829233819765,0.1428852575702836,3.3141792027921166,3.0960754086847198
ZTF18abckujg,2458283.0148935216,4.7093268362468415,0.8484319451151254,2.0958482644781076,2.997795995151329,-3.563549525483671,4.762975928891734,1.2208240971175233,5.681666015455303,1.4945581365760274,0.4310453926244903,0.6485706390689492,3.275339770106479,3.216299667504545
ZTF18abckujq,2458287.6879106285,87.45708620374022,95.28659702454233,1.1761063776109935,1.001907889456241,15.745133991442744,1.178076863300827,1.6850640152713598,158.43482461377772,161.63745159618318,0.9784657561943216,1.0417809938366536,8.279731493922302,8.590007389181679
ZTF18abcrxoj,2458289.036056165,20.440177190585754,11.799771004210555,2.318613623811283,2.6583891192098767,-9.782135794384956,-5.722688198129599,0.4743204330145847,13.978529054372641,9.4286455647642,0.28960924355420786,0.34339635786248485,3.3936024331511354,2.978144928400015
