,z,t0,x0,x1,c,MWebv,MWr_v,t0_err,x0_err,x1_err,c_err,ra,dec
ZTF18aaudfnk,0.1005201,2458264.1828590543,0.00036836244204439627,-1.1467936849714953,-0.11911084060246141,0.013821050247279278,3.1,0.06865078187547624,1.2314955400786914e-05,0.12886179596829342,0.03199904251627196,239.1321449,44.6020313
ZTF18acbwarv,0.06453508,2458428.79378994,0.0010684960253061623,0.23603708921479027,-0.04570672447978575,0.009971608396832143,3.1,0.18304176139645278,3.200997227541133e-05,0.12333678751665911,0.02826640809262139,161.8968422,41.7148976
ZTF18abryqnn,0.069763,2458366.72950215,0.000769771762610641,-0.14278777592698869,0.044055785941311675,0.04426592760489613,3.1,0.12337230681441724,2.3734915431707397e-05,0.129250795093,0.02877188276719036,355.1913168,14.1003726
ZTF18abssukb,0.11025560000000001,2458375.1405381565,0.00041040078606808877,-0.6549702985442666,-0.057692528406594834,0.019677494515165497,3.1,2.7396131213754416,4.236522731584511e-05,2.2210289555545812,0.08068154727518533,227.2635799,31.9410837
ZTF18acslpba,0.029314,2458463.5697551104,0.003001219713536401,-2.1636067566710664,0.042533292609589386,0.02065967758999418,3.1,0.17997066001407802,0.00011457262340030936,0.10755834445227638,0.03341240307605648,41.0342169,-9.4516682
ZTF18acnnxzz,0.07661485,2458444.0492250803,0.00042631607755097746,-0.005494145953444231,0.15724966124566428,0.018709026623830765,3.1,0.3151510679163039,1.4523515231216249e-05,0.3004459894718567,0.03502992477565944,152.7244337,6.7542141
ZTF18abkhcrj,0.038230300000000016,2458343.47147674,0.001507699556409558,0.8987936433773241,0.21998982577721427,0.04419537768251673,3.1,0.05885788542218506,4.712783830309744e-05,0.06307031885495773,0.02839617221184933,256.6513739,24.5453192
ZTF18acbufud,0.08420382,2458419.6415781197,0.00041070086139624893,-1.3489418161228781,0.07234777987414494,0.021250063379033318,3.1,3.204270829213783,8.975073664492246e-05,1.0303998748754624,0.11521664590900121,28.791571,2.4846813
ZTF18aawurud,0.053073,2458327.033772086,0.001172613400330672,0.03515516970941986,0.1325038874945668,0.0480692423109469,3.1,0.04814363783225417,3.4881370586431036e-05,0.04272124790565508,0.02716560648229395,280.7300613,50.6593335
ZTF18accdvrb,0.017766370243050063,2458419.111083336,0.00651763914867095,-0.27122559744873587,0.302484412688958,0.03335845292881785,3.1,1.9322149455547333e-05,0.00025682968897285975,0.11198202851822367,0.03333621181078016,151.4497575,-17.4343703
ZTF18aajnyyp,0.08496041,2458231.5729117696,0.0003790028724571593,-0.8190838629224825,0.18743463118989967,0.020314091101860533,3.1,0.5951163067948073,3.940732640466089e-05,0.6945163498083857,1.9441164653397596,219.3741477,43.6741966
ZTF18acbudzh,0.03634158,2458414.4602707587,0.0007093324643342678,0.02688877709063773,0.5438816625781995,0.027887653941112752,3.1,1.079178093932569,6.0083099669288184e-05,0.41560714583027336,0.047222582955414205,9.8336251,-10.478975
ZTF18aaxcntm,0.02679243,2458279.66445998,0.0030633213937909616,-1.3818337787070947,0.031851981444478546,0.008087880424487732,3.1,0.039132182486355305,9.031042546701978e-05,0.03901345475729339,0.02695858602578525,247.0463557,39.8201296
ZTF18aazcoob,0.08427000659663189,2458295.7020580717,0.0006031930154438855,0.3586660548112949,0.05243893906276883,0.03088334937948306,3.1,0.10101528046652675,1.8399665145215586e-05,0.11350141172700197,0.029163730990082178,269.5114405,69.0728141
ZTF18abixkdo,0.03034527,2458329.0870928727,0.0026355568204056885,-2.17125109788055,0.04350955088391103,0.041666659255954364,3.1,0.18434128654189408,8.93203498595918e-05,0.14760225098215476,0.033720755455389245,243.9520888,19.6570442
ZTF18aajtlbf,0.02783472,2458228.532542592,0.001964375361164281,-2.6151669099343167,0.10277992636041344,0.022336169538127462,3.1,0.08148057525977492,6.334281821543732e-05,0.06688001366465743,0.030575519658687638,261.9676437,60.0955043
ZTF18abshmro,0.05430928,2458365.8545759907,0.0003850395644061428,-2.103829312716502,0.3494217580975015,0.025658179786228398,3.1,0.17237629927694798,1.4182947327931134e-05,0.22962915998402722,0.03256793528940864,36.6971011,-9.0673107
ZTF18abjvzxx,0.05033761,2458332.381061638,0.0012815795652764623,-1.1838195128502498,0.07704497036144266,0.04464650017740043,3.1,0.3366148294880986,5.2979484923204e-05,0.3021753686949896,0.036493974246346775,240.2726376,11.9441853
ZTF18aairuad,0.06456795,2458229.8099738155,0.0008600037977361553,0.7596881512210434,0.05702961501457635,0.01420162979494022,3.1,0.08718657144345343,2.685739658875949e-05,0.09235402075221405,0.029047379476464175,177.9396866,57.7994954
ZTF18aczrafz,0.021008,2458486.4716449385,0.006417104740023018,-1.6663664667554754,0.008207423805130324,0.08670288499931478,3.1,0.1784928315319121,0.00024060219170192563,0.09115998030801324,0.03406420136561437,101.5994463,43.8244168
ZTF18acyyhgi,0.03703937,2458477.5081650116,0.0033795910371099873,-0.09226587063206737,-0.10037908122158823,0.0676286046622933,3.1,0.16283812164328992,0.0002491568293139202,0.2634118436325576,0.05731233826325719,243.5058462,20.4399035
ZTF18abmogag,0.08222634,2458350.2566917986,0.0005968849446413228,-0.3581664720164741,0.010370376253738718,0.026638116360103804,3.1,0.13867540238425136,1.9853944330675523e-05,0.14452814009367695,0.03179213867347126,13.3042223,20.7147077
ZTF18abvrzqj,0.101223,2458388.985082277,0.00043565767971483893,0.326230700856017,-0.06895945419206877,0.021796013613797117,3.1,0.41129175084643066,1.6569939150895225e-05,0.41241477014126704,0.03760939970092685,17.3301998,-15.5948122
ZTF18aaobjwr,0.11040530000000001,2458237.083533853,0.0002140942261984516,-1.0517726312212607,-0.005310305957768832,0.01555848588930114,3.1,0.3224831293337047,1.1782802999599384e-05,0.562294449976694,0.04853181075422096,174.1461982,34.5895281
ZTF18acbzpxx,0.08834532,2458426.441170641,0.0006134911127056914,1.5547418500554213,-0.021518524685752785,0.040800143029132534,3.1,0.6762002927716821,2.2531414838143713e-05,0.4446936194592868,0.035873071785399474,128.1833827,31.1834682
ZTF18abfhaji,0.101598,2458321.8907566415,0.0005323076851225495,0.12159841533308675,-0.07418103109016866,0.03868388987952753,3.1,0.059723421931266785,1.546274505414004e-05,0.07288222373747281,0.02959431887897901,263.8092868,54.246881
ZTF18acqpqph,0.02316421,2458446.0012169285,0.005850149559156385,0.8876964070093007,0.08316572206533199,0.00858032213448489,3.1,0.49082813994027674,0.00022503044758692648,0.20488523182039475,0.033350762233874474,204.8336858,34.6888246
ZTF18abckujq,0.06382665,2458305.2376420274,0.0011707650085673164,0.827430698475437,-0.02164959250282899,0.01660552709983227,3.1,0.16264147055335343,4.070073393470393e-05,0.20201516973380765,0.034020304918204236,181.6692369,59.5133643
ZTF18aawdpnm,0.04389802,2458273.587807303,0.0019848287349574344,-0.5088756076230463,0.0797966131482919,0.016818394751707166,3.1,0.16726383310742676,6.60931734741396e-05,0.14134252300973385,0.03099025995742074,213.8297393,16.8921648
ZTF18aaunfqq,0.07108651,2458268.3863502406,0.000672999808225966,-0.975442166193912,0.004662348857507813,0.008496658414195994,3.1,0.06602204754017293,2.0682829455203364e-05,0.073210043558261,0.028449944384822512,238.5800354,39.4539193
ZTF18aajpjdi,0.07461706,2458237.7930081747,0.0007425145311769106,0.8082469717297149,-0.005065627713135884,0.012581294465267363,3.1,0.09828081028535962,2.237174608856748e-05,0.11202057282605739,0.029145174264945582,199.5276168,27.8733933
ZTF18abtfrbf,0.05702774,2458377.88094653,0.000851889154309308,-1.2119993722099782,0.02107623961301499,0.018950153323091766,3.1,0.15740647190250456,2.787093146977276e-05,0.20565812015508225,0.030226272458213615,7.6026412,-1.264157
ZTF18abklaoj,0.02795989,2458329.7374860775,0.0026812444440317703,-2.9183572151040154,-0.016802940329388286,0.038917458895816534,3.1,6.779910333221778,0.0012627878140496363,3.253291987456308,0.24493486901225847,223.3845887,3.0704866
ZTF18aarbgdn,0.04449056,2458244.521318099,0.00241435354930588,-0.6354531836574351,0.022556974839469366,0.030068001652079374,3.1,0.1491583213210106,7.844316097117012e-05,0.18479812648488808,0.030229313100538235,155.67132,15.9391079
ZTF18acvwchp,0.05142530000000002,2458467.5595242064,0.0014597727394686235,0.2519403324727197,-0.04372515917657777,0.010701106882558514,3.1,0.965569962747395,6.662710593429344e-05,0.31135285126405354,0.03655789224001965,211.384527,55.3101908
ZTF18abbpeqo,0.06678188,2458301.093946467,0.0008758883224689467,-0.1323909617380047,0.03356862456583987,0.016889331555158923,3.1,0.04126080917194486,2.522869461930962e-05,0.05253060161291734,0.027193718805132047,238.2268102,50.6194718
