SN,Np,ra,dec,Name,Subtype,u_Subtype,z,n_z,E_B-V_,tgmax,e_tgmax,Delm15g,e_Delm15g,LC,Simbad,NED,recno
ZTF18abrzeym,907,264.1127448,22.4905809,SN2018ftt,normal   ,*,0.055,f,0.0685,58373.25,0.06,0.74,0.03,LC,Simbad,NED,109
ZTF18abrzrnb,532,222.2357873,52.593445,SN2018gem,99aa-like,*,0.12,f,0.0125,58372.55,0.52,0.76,0.07,LC,Simbad,NED,110
ZTF18absdgon,779,260.9575053,46.3015047,SN2018frx,normal   ,*,0.062,h,0.023,58375.24,0.04,0.82,0.02,LC,Simbad,NED,111
ZTF18abslxhz,1205,286.7175917,34.3483821,SN2018lpn,normal   , ,0.134,f,0.0744,58374.33,0.15,0.73,0.04,LC,Simbad,NED,112
ZTF18abssdpi,584,280.8350645,58.8054728,SN2018lpo,normal   , ,0.103,f,0.0359,58374.89,0.21,0.81,0.04,LC,Simbad,NED,113
ZTF18abssuxz,642,244.4515423,41.4695415,SN2018gfe,normal   , ,0.0649,h,0.0073,58377.23,0.26,0.0,0.0,LC,Simbad,NED,114
ZTF18abtcdfv,448,12.5268629,39.9569198,SN2018lpp,normal   , ,0.14,f,0.0491,58376.5,0.21,0.7,0.03,LC,Simbad,NED,115
ZTF18abtnlik,1005,279.321588,49.1483836,SN2018ggq,normal   , ,0.084,f,0.0517,58378.73,0.1,0.93,0.03,LC,Simbad,NED,116
ZTF18abtogdl,785,267.7970504,53.3144634,SN2018gqa,normal   , ,0.1,f,0.0308,58380.23,0.12,0.78,0.03,LC,Simbad,NED,117
ZTF18abucvbf,769,277.0636963,46.353432,SN2018ggw,normal   , ,0.0549,h,0.0421,58384.55,0.02,0.82,0.02,LC,Simbad,NED,118
ZTF18abukmty,506,321.5265118,24.0458051,SN2018lpz,normal   ,*,0.104,f,0.1146,58381.95,0.21,0.75,0.05,LC,Simbad,NED,119
ZTF18abuqugw,698,244.5576659,39.1238139,SN2018geo,normal   , ,0.0313,h,0.0064,58384.85,0.04,0.0,0.0,LC,Simbad,NED,120
ZTF18abvbayb,658,262.8011274,79.0542548,SN2018lpq,normal   , ,0.132,f,0.054,58383.27,0.24,0.83,0.05,LC,Simbad,NED,121
ZTF18abwdcdv,651,270.8646135,60.6773549,SN2018gre,normal   , ,0.0538,h,0.0332,58388.92,0.11,0.82,0.04,LC,Simbad,NED,122
ZTF18abwmuua,681,249.6433823,31.8731326,SN2018gvb,normal   ,*,0.0643,h,0.0205,58387.04,0.43,0.0,0.0,LC,Simbad,NED,123
ZTF18abwnsoc,515,280.8567188,72.1238747,SN2018lpr,normal   , ,0.099,f,0.0489,58389.7,0.19,0.0,0.0,LC,Simbad,NED,124
ZTF18abwtops,904,281.4867236,36.4026955,SN2018lqa,normal   , ,0.101,f,0.0789,58387.05,0.24,0.97,0.06,LC,Simbad,NED,125
ZTF18abxxssh,789,268.3955545,43.2161123,SN2018gvj,normal   , ,0.0782,h,0.0255,58396.47,0.16,0.0,0.0,LC,Simbad,NED,126
ZTF18abxygvv,1182,293.8460903,64.7584122,SN2018gwb,normal   ,*,0.079,f,0.0938,58394.03,0.12,0.0,0.0,LC,Simbad,NED,127
