ID zcmb vpec
ZTF18aaobjwr 0.111429 0
ZTF18aaocqhe 0.122316 0
ZTF18aaocrmb 0.106545 0
ZTF18aaohzei 0.059620 0
ZTF18aaommeg 0.099982 0
ZTF18aaotzhu 0.072192 0
ZTF18aaovbiy 0.077866 0
ZTF18aaphzut 0.087234 0
ZTF18aapqwyv 0.056025 0
ZTF18aapsedq 0.072390 0
ZTF18aapuntm 0.110009 0
ZTF18aaqcozd 0.074005 0
ZTF18aaqcqkv 0.118092 0
ZTF18aaqcqve 0.120682 0
ZTF18aaqcqvr 0.070714 0
ZTF18aaqcugm 0.062341 0
ZTF18aaqculk 0.094574 0
ZTF18aaqedfj 0.063169 0
ZTF18aaqehoc 0.062550 0
ZTF18aaqeygf 0.110262 0
ZTF18aaqffyp 0.073381 0
ZTF18aaqfziz 0.054440 0
ZTF18aaqgadq 0.072600 0
ZTF18aaqgbju 0.094347 0
ZTF18aaqjhqz 0.100698 0
ZTF18aaqjvjr 0.120889 0
ZTF18aaqjxid 0.110682 0
ZTF18aaqkjuw 0.097174 0
ZTF18aaqkqxi 0.077017 0
ZTF18aaqnrum 0.069117 0
ZTF18aaqpjja 0.063020 0
ZTF18aaqpkvx 0.085032 0
ZTF18aaqqhis 0.060777 0
ZTF18aaqqoqs 0.080571 0
ZTF18aaqskoy 0.084941 0
ZTF18aarbaba 0.059073 0
ZTF18aarbgdn 0.045656 -54.96
ZTF18aarbify 0.082212 0
ZTF18aarcygc 0.092970 0
ZTF18aarcypa 0.033073 -3.34
ZTF18aaripcr 0.034747 -172.92
ZTF18aarktll 0.111034 0
ZTF18aarldnh 0.108263 0
ZTF18aarohda 0.106871 0
ZTF18aaroihe 0.048702 -106.41
ZTF18aarqnje 0.115028 0
ZTF18aartjmf 0.088381 0
ZTF18aarxzmv 0.070896 0
ZTF18aarymnz 0.023320 -332.67
ZTF18aasdted 0.017984 -78.80
ZTF18aasesgl 0.086461 0
ZTF18aaslhxt 0.059598 0
ZTF18aasprui 0.038118 -603.99
ZTF18aasrssa 0.031247 -107.45
ZTF18aataafd 0.077633 0
ZTF18aatzygk 0.079936 0
ZTF18aaudfnk 0.100714 0
ZTF18aauhxce 0.083773 0
ZTF18aauizcr 0.034604 -205.21
ZTF18aaumeys 0.036864 -112.85
ZTF18aaumlfl 0.087446 0
ZTF18aaunfqq 0.071321 0
ZTF18aauocnw 0.099659 0
ZTF18aaupmks 0.039528 -49.87
ZTF18aauqdyb 0.119501 0
ZTF18aauvnhh 0.059090 0
ZTF18aauworo 0.050133 0
ZTF18aauxltf 0.059320 0
ZTF18aavjnfx 0.060188 0
ZTF18aavnvmp 0.064816 0
ZTF18aavnxar 0.086032 0
ZTF18aavrwhu 0.062647 0
ZTF18aavrzxp 0.070473 0
ZTF18aawcwsx 0.090787 0
ZTF18aawczad 0.069200 0
ZTF18aawdpnm 0.044706 -116.11
ZTF18aawjywv 0.039718 -129.81
ZTF18aawmxdx 0.043654 -203.64
ZTF18aawpcel 0.150483 0
ZTF18aawtveo 0.159894 0
ZTF18aawurud 0.052633 0
ZTF18aawxlxf 0.082693 0
ZTF18aaxavsk 0.079793 0
ZTF18aaxcfbt 0.068800 0
ZTF18aaxcntm 0.026876 858.45
ZTF18aaxcxih 0.069595 0
ZTF18aaxdrjn 0.034463 -277.12
ZTF18aaxkfos 0.075802 0
ZTF18aaxkjmm 0.066396 0
ZTF18aaxmacd 0.141168 0
ZTF18aaxmixe 0.079845 0
ZTF18aaxnkos 0.063575 0
ZTF18aaxqyki 0.100171 0
ZTF18aaxrvzj 0.110054 0
ZTF18aaxsioa 0.029975 101.17
ZTF18aaxtcdm 0.075564 0
ZTF18aaxvpsw 0.092025 0
ZTF18aaxwjmp 0.079914 0
ZTF18aaxxewy 0.080844 0
ZTF18aaxxfah 0.057440 0
ZTF18aaxzhzf 0.111196 0
ZTF18aaydmkh 0.079841 0
ZTF18aayiahw 0.064462 0
ZTF18aayidfz 0.067965 0
ZTF18aayivoq 0.080188 0
ZTF18aayivxm 0.088404 0
ZTF18aayjomr 0.130593 0
ZTF18aayjvve 0.047725 -102.84
ZTF18aayjyub 0.030362 -110.88
ZTF18aaykjei 0.097074 0
ZTF18aaykmzg 0.056700 0
ZTF18aaykuzt 0.101141 0
ZTF18aaylbjm 0.090176 0
ZTF18aaylcvo 0.044954 -331.26
ZTF18aaytovs 0.074348 0
ZTF18aayxupv 0.048053 -88.89
ZTF18aayyimm 0.160617 0
ZTF18aazabmh 0.069899 0
ZTF18aazblzy 0.065215 0
ZTF18aazcoob 0.084024 0
